Uniprot	Protein	Prot
Q3E731	YLL018C-A	8.07921778124502E-07
Q07830	YLL031C	4.60454434517983E-07
P21801	YLL041C	1.79733994274661E-06
Q12473	YLL051C	1.73482378149586E-07
Q12358	YLL057C	1.69180041335946E-06
Q12198	YLL058W	3.19820075207707E-07
Q12390	YLL060C	5.87123594598447E-07
Q12525	YLL062C	5.22536005876846E-07
Q07923	YLR011W	3.62806648706511E-07
Q07938	YLR017W	1.36948801805414E-06
Q07950	YLR020C	4.33380912333129E-07
P23542	YLR027C	2.3911757942661E-06
P54113	YLR028C	1.8602576711868E-06
Q01519	YLR038C	2.8822816895633E-06
P22217	YLR043C	7.02146681376456E-06
P06169	YLR044C	4.50787199435884E-05
Q12209	YLR047C	2.99210891947497E-07
P32353	YLR056W	1.77086686212142E-06
Q12205	YLR057W	3.29668487394927E-07
P37291	YLR058C	1.35902629229803E-05
P15624	YLR060W	5.51265585987967E-06
Q07993	YLR070C	5.25439976492234E-07
P52893	YLR089C	2.56761214972059E-06
Q12385	YLR099C	5.81790881595716E-07
Q12452	YLR100W	7.67537552886676E-07
P38013	YLR109W	5.04276479523244E-06
P20485	YLR133W	9.28193850227114E-07
P16467	YLR134W	1.99685699439478E-05
P09368	YLR142W	1.49577338886381E-06
Q12429	YLR143W	5.56521079574599E-07
Q12455	YLR146C	7.92729997729072E-07
Q12524	YLR151C	2.24465079941285E-07
P52910	YLR153C	5.15178904250943E-06
P0CZ17	YLR155C	1.50633941171916E-06
P0CX77	YLR157C	1.50633941171916E-06
P0CX78	YLR158C	1.50633941171916E-06
P0CX79	YLR160C	1.50633941171916E-06
Q06236	YLR164W	7.57659844983311E-07
P32469	YLR172C	2.51092801050837E-06
P41939	YLR174W	1.70489300130668E-06
P10659	YLR180W	6.4852387265981E-06
Q06321	YLR189C	3.89780755536863E-07
Q05779	YLR201C	1.27116901479394E-06
Q05788	YLR209C	8.22514462648791E-07
P32791	YLR214W	2.86246395159348E-07
Q05979	YLR231C	8.86294888995162E-07
Q06005	YLR239C	3.71228561364608E-07
P22543	YLR240W	4.10338501729142E-07
Q01662	YLR244C	2.55266445798831E-06
Q06549	YLR245C	6.02218478789667E-07
P27472	YLR258W	1.28070502754008E-06
Q06147	YLR260W	3.58500942935548E-07
Q05871	YLR284C	4.92697263532017E-07
Q05874	YLR285W	1.12866371680939E-06
