Row	Empty	ACE_BATCH_mu=0.3_S	FRU_BATCH_mu=0.65_S	FUM_BATCH_mu=0.42_S	GAL_BATCH_mu=0.26_S	GAM_BATCH_mu=0.46_S	GLC_BATCH_mu=0.58_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	SUCC_BATCH_mu=0.44_S	XYL_BATCH_mu=0.55_S	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.40_V	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.41_P	GLC_CHEM_mu=0.46_P	GLC_CHEM_mu=0.51_P
P0AAN3		5.1063212670476E-08	NaN	5.13891429391255E-08	NaN	NaN	NaN	NaN	7.41829371057998E-08	NaN	NaN	NaN	6.41439436481653E-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P24193		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P23909		NaN	6.12332227022722E-08	6.28199584656773E-08	NaN	6.99861650270796E-08	6.89410685204466E-08	5.52178748189882E-08	NaN	9.43588662036231E-08	NaN	6.39903561618574E-08	5.81056202989573E-08	5.76253454239317E-08	6.2500839944406E-08	7.86590758470244E-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P52598		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q46891		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P13445		2.50152859329144E-07	2.49301835349479E-07	2.19859949243799E-07	3.26142321470795E-07	2.90431061344538E-07	3.88752501775152E-07	3.54789617494182E-07	2.32441140289113E-07	1.52809836223956E-07	1.88307532094971E-07	1.89590367523519E-07	4.81238480607271E-07	6.54708112177945E-07	6.38741391783405E-07	5.9114961115759E-07	2.0934867051704E-06	1.82130928020485E-06	2.24454542762309E-06	1.79297947982482E-06	1.85064546780975E-06	7.16897663962234E-07	7.4972016569773E-07	6.24466603435629E-07	5.98583334291452E-07	5.37133897458831E-07	5.31170753534916E-07	5.36069176209661E-07	5.22918439861266E-07
P0ADA3		3.96844736345229E-07	4.29771544457563E-07	5.95749539886423E-07	5.47843507184362E-07	4.86657364330727E-07	6.10122255076221E-07	6.08235279029594E-07	4.82779962475027E-07	6.47469284991072E-07	4.22936181613613E-07	6.28829695022356E-07	4.65877833490865E-07	4.57253003298797E-07	5.14347737509617E-07	4.24852539985165E-07	NaN	NaN	NaN	NaN	NaN	3.33434379450426E-07	3.54398057027522E-07	NaN	3.07415940286924E-07	3.23130096096172E-07	3.38241481650186E-07	NaN	3.55237914569592E-07
P0A7A5		3.25960070941484E-07	3.36306730904789E-07	3.58792894283154E-07	5.2801175892961E-07	3.52869322185108E-07	3.32745635264453E-07	3.50386673385385E-07	4.34271335821825E-07	3.94483664403756E-07	4.81135008726134E-07	3.75321113790375E-07	3.88200630055659E-07	3.40260488407893E-07	2.94389229674406E-07	2.82368311512683E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0A840		2.91589759413927E-07	1.9015958610428E-07	3.56673141663846E-07	2.68901201938711E-07	2.62544148166898E-07	2.84658752724105E-07	2.81883724783575E-07	2.93148399971018E-07	3.7425528118391E-07	2.94114716104832E-07	2.76972914198885E-07	2.98076005681297E-07	3.04819207532133E-07	2.65497529760488E-07	2.08310931898327E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q57261		3.14802299535338E-07	2.91189303627768E-07	3.21687318059183E-07	1.7031168420843E-07	2.40879934623938E-07	4.1361097495279E-07	3.23644982542775E-07	3.05308912271506E-07	3.2423783610797E-07	2.86079221208599E-07	2.98272973563923E-07	2.94076940656163E-07	2.83215750998308E-07	2.68139296225766E-07	2.66879675412485E-07	NaN	NaN	NaN	NaN	NaN	2.84595884731569E-07	2.94341191184305E-07	NaN	2.71516746788351E-07	NaN	NaN	NaN	2.49785031310481E-07
